3.86197        0              0              1              
3.86617        0              0              1              
3.87012        0              0              1              
3.87407        0              0              1              
3.878          12             3              5              
3.88161        30             5              7              
3.88557        29             5              6              
3.88964        29             5              6              
3.89372        19             4              5              
3.89786        23             5              6              
3.90168        14             4              5              
3.90591        11             3              4              
3.90994        15             4              5              
3.91385        8              3              4              
3.91791        9              3              4              
3.92191        5              2              3              
3.92579        11             3              4              
3.93002        8              3              4              
3.93394        11             3              4              
3.9381         4              2              3              
3.94206        3              2              3              
3.946          4              2              3              
3.94996        3              2              3              
3.9539         4              2              3              
3.95788        2              1              3              
3.96207        2              1              3              
3.96596        7              2              4              
3.96986        11             3              4              
3.97391        3              2              3              
3.97789        1              1              2              
3.98191        5              2              3              
3.98589        3              2              3              
3.98993        6              2              4              
3.99399        7              3              4              
3.99809        5              2              3              
4.00193        4              2              3              
4.00599        5              2              3              
4.00995        4              2              3              
4.0139         4              2              3              
4.01795        6              2              4              
4.02207        2              1              3              
4.02595        8              3              4              
4.02989        9              3              4              
4.0339         4              2              3              
4.03785        4              2              3              
4.04194        3              2              3              
4.04575        4              2              3              
4.04978        8              3              4              
4.05402        4              2              3              
4.0578         8              3              4              
4.06182        3              2              3              
4.06601        3              2              3              
4.07009        3              2              3              
4.07388        6              2              4              
4.07786        3              2              3              
4.08209        1              1              2              
4.08604        1              1              2              
4.08998        2              1              3              
4.09389        5              2              3              
4.09788        2              1              3              
4.10194        3              2              3              
4.10593        0              0              1              
4.11           0              0              1              
4.11407        0              0              1              
4.1179         0              0              1              
