3.86197        0              0              1              
3.86596        0              0              1              
3.87007        0              0              1              
3.87394        2              1              3              
3.87793        46             7              8              
3.88192        51             7              8              
3.88591        49             7              8              
3.8899         48             7              8              
3.89389        34             6              7              
3.898          39             6              7              
3.902          41             6              8              
3.90611        39             6              7              
3.9101         39             6              7              
3.91397        24             5              6              
3.91796        24             5              6              
3.92195        27             5              6              
3.92594        15             4              5              
3.93005        25             5              6              
3.93404        18             4              5              
3.93803        10             3              4              
3.94202        22             5              6              
3.94589        25             5              6              
3.95           20             4              6              
3.95387        21             4              6              
3.95798        22             5              6              
3.96197        27             5              6              
3.96608        20             4              6              
3.96995        15             4              5              
3.97394        21             5              6              
3.97781        24             5              6              
3.9818         15             4              5              
3.98579        16             4              5              
3.99015        22             5              6              
3.99414        13             4              5              
3.99813        8              3              4              
4.00212        11             3              4              
4.00599        17             4              5              
4.00998        19             4              5              
4.01397        14             4              5              
4.01796        14             4              5              
4.02207        14             4              5              
4.02606        19             4              5              
4.03005        9              3              4              
4.03404        12             3              5              
4.03803        12             3              5              
4.0419         10             3              4              
4.04589        15             4              5              
4.05012        8              3              4              
4.05399        5              2              4              
4.05786        7              3              4              
4.06197        9              3              4              
4.06596        7              3              4              
4.06995        3              2              3              
4.07394        4              2              3              
4.07793        1              1              2              
4.08217        1              1              2              
4.08603        1              1              2              
4.09002        0              0              1              
4.09401        0              0              1              
4.09788        0              0              1              
4.102          0              0              1              
4.10586        0              0              1              
4.10998        0              0              1              
4.11409        0              0              1              
4.11796        0              0              1              
